iter	Logloss
0	0.6063648628
1	0.5321359003
2	0.4689489147
3	0.4155394812
4	0.369500693
5	0.3308275491
6	0.2976089445
7	0.2698765501
8	0.2460773295
9	0.2254063461
10	0.2088318065
11	0.1945954
12	0.1825549439
13	0.1717587261
14	0.1625686218
15	0.1545680633
16	0.1474512913
17	0.1418642558
18	0.1370387912
19	0.1326048768
20	0.1287820753
21	0.125244775
22	0.122103695
23	0.1194725219
24	0.1170909052
25	0.1150314248
26	0.1131675447
27	0.1114499942
28	0.1101026468
29	0.1088631464
30	0.1077489968
31	0.1065056065
32	0.1054840935
33	0.1047213978
34	0.1039306207
35	0.1032558608
36	0.102674488
37	0.1020700395
38	0.1015643769
39	0.1010953772
40	0.1006372306
41	0.1003540039
42	0.1000264318
43	0.09972765121
44	0.09943159396
45	0.09916848748
46	0.09895303934
47	0.0987381142
48	0.0985296709
49	0.09831029868
50	0.0981433042
51	0.09796875712
52	0.09775280609
53	0.09760690197
54	0.09745840913
55	0.09730080861
56	0.0971932942
57	0.09710411433
58	0.09700560394
59	0.09687194863
60	0.09677366106
61	0.09665524868
62	0.09653033279
63	0.09639753626
64	0.09632244345
65	0.09625553301
66	0.09614943133
67	0.09608513436
68	0.09600215007
69	0.09589903632
70	0.09583423183
71	0.09577850717
72	0.09573611601
73	0.09565815132
74	0.09559796411
75	0.09553322615
76	0.09544211364
77	0.09538838661
78	0.0953413565
79	0.09530559264
80	0.09521773265
81	0.09514709155
82	0.09509051276
83	0.09503009654
84	0.09498668723
85	0.09492826864
86	0.09489120965
87	0.09486295662
88	0.09479993466
89	0.09475842704
90	0.0946993106
91	0.09465104107
92	0.09461848331
93	0.09459103335
94	0.09454255957
95	0.09451251471
96	0.09447041909
97	0.09442807591
98	0.09438922354
99	0.09433181536
100	0.09428889966
101	0.0942536557
102	0.0942220867
103	0.09417909982
104	0.09412910499
105	0.09409303475
106	0.09405254838
107	0.09401327668
108	0.09397102943
109	0.09392985604
110	0.09387388226
111	0.09384087422
112	0.09377724571
113	0.09374774397
114	0.09372105685
115	0.09367629825
116	0.09364310144
117	0.09360977001
118	0.09357980406
119	0.09353983141
120	0.09350570928
121	0.09347594294
122	0.09344644429
123	0.09341784311
124	0.0933896597
125	0.09335680176
126	0.09332601881
127	0.09326392682
128	0.09323768998
129	0.09320127313
130	0.09317160273
131	0.09314539838
132	0.09311228977
133	0.09308887684
134	0.09305190605
135	0.09302497445
136	0.09298526949
137	0.09296476248
138	0.09293370256
139	0.09288964491
140	0.09284517102
141	0.09281406158
142	0.09277566104
143	0.09273459906
144	0.09271186232
145	0.09267792278
146	0.0926562042
147	0.09261789804
148	0.09258559096
149	0.09252358097
150	0.09248078596
151	0.09245996329
152	0.09243048166
153	0.09241096186
154	0.09238614858
155	0.09235937481
156	0.09233225444
157	0.09230406794
158	0.0922816546
159	0.09226005207
160	0.0922321704
161	0.09219704714
162	0.09214688829
163	0.09212772129
164	0.09210811329
165	0.09209086964
166	0.09207113012
167	0.09204315097
168	0.09200672793
169	0.09197386999
170	0.09194791322
171	0.0919213731
172	0.09189517495
173	0.09187132102
174	0.09184614257
175	0.09181972005
176	0.0917949795
177	0.09174900159
178	0.09172470977
179	0.09169960713
180	0.09168515026
181	0.09165401916
182	0.09163184411
183	0.09160788032
184	0.09158207829
185	0.09154833372
186	0.0915203917
187	0.09147702262
188	0.09144601376
189	0.09142290566
190	0.0913958023
191	0.09135340496
192	0.09132342508
193	0.09130576829
194	0.09129015864
195	0.09126440612
196	0.09123478523
197	0.09121431227
198	0.09118565847
199	0.09116964496
200	0.0911542179
201	0.09113153996
202	0.09109746735
203	0.09107159723
204	0.09104199491
205	0.09100696604
206	0.09097204548
207	0.09094712389
208	0.09092166846
209	0.09088274491
210	0.09086392451
211	0.09084153748
212	0.09081938409
213	0.09078317614
214	0.09075340051
215	0.09071482821
216	0.09069402102
217	0.09066423611
218	0.09063282494
219	0.09059856046
220	0.09057299672
221	0.09055157987
222	0.09053042762
223	0.09050979372
224	0.09049029559
225	0.09046066077
226	0.09041072784
227	0.09039102081
228	0.09035523838
229	0.09032576294
230	0.09030071911
231	0.09028013319
232	0.09025647887
233	0.09022336871
234	0.09020576762
235	0.09017812734
236	0.0901442466
237	0.0901214588
238	0.0901031645
239	0.09008227375
240	0.09006159808
241	0.09003848998
242	0.09000379069
243	0.08996955716
244	0.08994403674
245	0.08991507348
246	0.08988779682
247	0.08985793918
248	0.08983162807
249	0.089811217
250	0.08978756888
251	0.08976553773
252	0.08973268598
253	0.08971154301
254	0.08969366959
255	0.08967127327
256	0.08964542636
257	0.08960084571
258	0.08956815488
259	0.08954448973
260	0.08950597933
261	0.08947765357
262	0.08945386773
263	0.08943493747
264	0.08941612016
265	0.08939566422
266	0.08936251847
267	0.08933760771
268	0.08931861865
269	0.08929768457
270	0.08928304975
271	0.08924163652
272	0.08922386832
273	0.08919062354
274	0.08916894055
275	0.08914636319
276	0.08911873838
277	0.08909984989
278	0.08906845265
279	0.08905261399
280	0.08903669487
281	0.08901535384
282	0.08899111618
283	0.08896622863
284	0.08893471224
285	0.08890956473
286	0.08886947603
287	0.0888444291
288	0.08882205444
289	0.08880425994
290	0.08878402371
291	0.08874621735
292	0.08872094761
293	0.08870418054
294	0.08868633497
295	0.08864944928
296	0.08862929816
297	0.08859063302
298	0.08857113179
299	0.08854500327
