experiment,population_size,generations,mutation_rate,quick,execution_time_seconds,best_fitness,best_hyperparameters,accuracy,recall,precision,f1_score,false_negatives,false_positives,threshold
1,10,5,0.1,False,38369.8118,0.6353623176672581,"{'max_depth': 7, 'learning_rate': 0.03115, 'n_estimators': 220, 'subsample': 0.69796, 'colsample_bytree': 0.94772, 'min_child_weight': 2, 'gamma': 3.4907, 'reg_alpha': 2.66373, 'reg_lambda': 1.15204}",0.2176058329928659,0.9949563987744521,0.145096098325497,0.25325902418246937,107,124368,0.12
2,20,8,0.2,False,22851.4065,0.6353665540585001,"{'max_depth': 5, 'learning_rate': 0.05188, 'n_estimators': 333, 'subsample': 0.86305, 'colsample_bytree': 0.76662, 'min_child_weight': 1, 'gamma': 1.16312, 'reg_alpha': 0.82961, 'reg_lambda': 5.9541}",0.23262201829095824,0.9931652132924818,0.1473313241638755,0.2565976154811053,145,121941,0.12
3,30,10,0.3,False,173956.4061,0.6357576428258713,"{'max_depth': 6, 'learning_rate': 0.03278, 'n_estimators': 371, 'subsample': 0.69849, 'colsample_bytree': 0.82084, 'min_child_weight': 3, 'gamma': 2.79547, 'reg_alpha': 2.1911, 'reg_lambda': 3.96307}",0.23516766711713127,0.993400895592741,0.14777444326022326,0.2572773162588277,140,121541,0.12
