model,accuracy,recall,precision,f1_score,false_negatives,false_positives
baseline_original,0.6618,0.5590200445434298,0.14392201834862386,0.22891016871865025,198,1493
modelo_otimizado_ga,0.228,0.9315589353612167,0.09634290208415258,0.17462580185317178,18,2298
